3,AH1 Hostel Elections,Only for AH1 Students.
4,AH2 Hostel Elections,Only for AH2 Students.
5,AH3 Hostel Elections,Only for AH3 Students.
6,AH5 Hostel Elections,Only for AH5 Students.
7,AH7 Hostel Elections,Only for AH7 Students.
8,AH8 Hostel Elections,Only for AH8 Students.
9,CH1 Hostel Elections,Only for CH1 Students.
10,CH3 Hostel Elections,Only for CH3 Students.
11,CH4(S) Hostel Elections,Only for CH4(S) Students.
12,CH5 Hostel Elections,Only for CH5 Students.
13,CH4(J) Hostel Elections,Only for CH4(J) Students.
14,AH4 Hostel Elections,Only for AH4 Students.
15,AH6 Hostel Elections,Only for AH6 Students.
16,CH2 Hostel Elections,Only for CH2 Students.
