4,3,AH1 Hostel Cultural Representative, 
5,4,AH2 Hostel MNU, 
8,4,AH2 Hostel Cultural Representative, 
9,5,AH3 Hostel MNU, 
10,5,AH3 Hostel Mess Representative, 
11,5,AH3 Hostel Sports Representative, 
12,5,AH3 Hostel Cultural Representative, 
13,6,AH5 Hostel MNU, 
14,6,AH5 Hostel Mess Representative, 
15,6,AH5 Hostel Sports Representative, 
16,6,AH5 Hostel Cultural Representative, 
17,7,AH7 Hostel MNU, 
18,7,AH7 Hostel Mess Representative, 
19,7,AH7 Hostel Sports Representative, 
20,7,AH7 Hostel Cultural Representative, 
21,8,AH8 Hostel MNU, 
22,8,AH8 Hostel Mess Representative, 
23,8,AH8 Hostel Sports Representative, 
24,8,AH8 Hostel Cultural Representative, 
25,9,CH1 Hostel MNU, 
26,9,CH1 Hostel Mess Representative, 
27,9,CH1 Hostel Sports Representative, 
28,9,CH1 Hostel Cultural Representative, 
29,10,CH3 Hostel MNU, 
33,11,CH4 Hostel MNU, 
34,11,CH4 Hostel Mess Representative, 
35,11,CH4 Hostel Sports Representative, 
36,11,CH4 Hostel Cultural Representative, 
37,12,CH5 Hostel MNU, 
38,12,CH5 Hostel Mess Representative, 
39,12,CH5 Hostel Sports Representative, 
40,12,CH5 Hostel Cultural Representative, 
45,14,AH4 Hostel MNU, 
46,14,AH4 Hostel Mess Representative, 
47,14,AH4 Hostel Sports Representative, 
48,14,AH4 Hostel Cultural Representative, 
53,16,CH2 Hostel MNU, 
54,16,CH2 Hostel Mess Representative, 
55,16,CH2 Hostel Sports Representative, 
57,2,BITS Goa Campus President, 
58,2,BITS Goa Campus Vice-President, 
59,2,BITS Goa Campus General Secretary, 
60,2,BITS Goa Campus Treasurer, 
